Using a slow image processor as `use_fast` is unset and a slow processor was saved with this model. `use_fast=True` will be the default behavior in v4.52, even if the model was saved with a slow processor. This will result in minor differences in outputs. You'll still be able to use a slow processor with `use_fast=False`.
`torch_dtype` is deprecated! Use `dtype` instead!
Loading model from registry: spatialvla-4b (IPEC-COMMUNITY/spatialvla-4b-224-pt)
  Architecture: gemma2, Auto class: AutoModel
  Applied SpatialVLA monkey-patch: _validate_images_text_input_order
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|█████     | 1/2 [00:00<00:00,  5.53it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00,  4.62it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00,  4.74it/s]
  Loaded: 26L x 8H, hidden=2304, dtype=bfloat16
  Layers path: language_model.model.layers
Model loaded successfully.
  D0 [159/175] skill=pick NLL=N/A top1=0.2664 H=3.659
  D0 [160/175] skill=pick NLL=N/A top1=0.4701 H=3.139
  D0 [161/175] skill=fold NLL=N/A top1=0.5167 H=2.782
  D0 [162/175] skill=fold NLL=N/A top1=0.1252 H=5.737
  D0 [163/175] skill=place NLL=N/A top1=0.1059 H=4.235
  D0 [164/175] skill=open NLL=N/A top1=0.2286 H=3.491
  D0 [165/175] skill=pick NLL=N/A top1=0.3801 H=2.835
  D0 [166/175] skill=fold NLL=N/A top1=0.3755 H=2.395
  D0 [167/175] skill=place NLL=N/A top1=0.6122 H=2.113
  D0 [168/175] skill=pick NLL=N/A top1=0.5104 H=2.524
  D0 [169/175] skill=move NLL=N/A top1=0.2264 H=3.338
  D0 [170/175] skill=turn NLL=N/A top1=0.4955 H=2.952
  D0 [171/175] skill=turn NLL=N/A top1=0.1785 H=5.032
  D0 [172/175] skill=pick NLL=N/A top1=0.1442 H=4.405
  D0 [173/175] skill=close NLL=N/A top1=0.9875 H=0.091
  D0 [174/175] skill=fold NLL=N/A top1=0.3943 H=2.128
  D0 [175/175] skill=turn NLL=N/A top1=0.1714 H=5.323
  Text input_ids length: 269
  Full sequence length (after vision expansion): 269
  Vision tokens (from seq diff): 0, Text tokens: 269
  (Processor-embedded vision tokens detected: 256 at [0:256])
  Token boundaries: {'vision_start': 0, 'vision_end': 256, 'text_start': 256, 'text_end': 269, 'total_seq_len': 269, 'num_vision_tokens': 256, 'num_text_tokens': 269, 'pre_image_tokens': 0, 'text_query_ranges': [(256, 269)], 'text_ranges': [(256, 269)]}
  D1 [1/175] skill=pick H=3.573 top1=0.296
  Text input_ids length: 270
  Full sequence length (after vision expansion): 270
  Vision tokens (from seq diff): 0, Text tokens: 270
  (Processor-embedded vision tokens detected: 256 at [0:256])
  Token boundaries: {'vision_start': 0, 'vision_end': 256, 'text_start': 256, 'text_end': 270, 'total_seq_len': 270, 'num_vision_tokens': 256, 'num_text_tokens': 270, 'pre_image_tokens': 0, 'text_query_ranges': [(256, 270)], 'text_ranges': [(256, 270)]}
  D1 [2/175] skill=pick H=3.360 top1=0.236
  Text input_ids length: 266
  Full sequence length (after vision expansion): 266
  Vision tokens (from seq diff): 0, Text tokens: 266
  (Processor-embedded vision tokens detected: 256 at [0:256])
  Token boundaries: {'vision_start': 0, 'vision_end': 256, 'text_start': 256, 'text_end': 266, 'total_seq_len': 266, 'num_vision_tokens': 256, 'num_text_tokens': 266, 'pre_image_tokens': 0, 'text_query_ranges': [(256, 266)], 'text_ranges': [(256, 266)]}
  D1 [3/175] skill=open H=4.275 top1=0.215
  Text input_ids length: 267
  Full sequence length (after vision expansion): 267
  Vision tokens (from seq diff): 0, Text tokens: 267
  (Processor-embedded vision tokens detected: 256 at [0:256])
  Token boundaries: {'vision_start': 0, 'vision_end': 256, 'text_start': 256, 'text_end': 267, 'total_seq_len': 267, 'num_vision_tokens': 256, 'num_text_tokens': 267, 'pre_image_tokens': 0, 'text_query_ranges': [(256, 267)], 'text_ranges': [(256, 267)]}
  D1 [4/175] skill=close H=5.015 top1=0.127
  Text input_ids length: 267
  Full sequence length (after vision expansion): 267
  Vision tokens (from seq diff): 0, Text tokens: 267
  (Processor-embedded vision tokens detected: 256 at [0:256])
  Token boundaries: {'vision_start': 0, 'vision_end': 256, 'text_start': 256, 'text_end': 267, 'total_seq_len': 267, 'num_vision_tokens': 256, 'num_text_tokens': 267, 'pre_image_tokens': 0, 'text_query_ranges': [(256, 267)], 'text_ranges': [(256, 267)]}
  D1 [5/175] skill=close H=1.546 top1=0.660
  Text input_ids length: 266
  Full sequence length (after vision expansion): 266
  Vision tokens (from seq diff): 0, Text tokens: 266
  (Processor-embedded vision tokens detected: 256 at [0:256])
  Token boundaries: {'vision_start': 0, 'vision_end': 256, 'text_start': 256, 'text_end': 266, 'total_seq_len': 266, 'num_vision_tokens': 256, 'num_text_tokens': 266, 'pre_image_tokens': 0, 'text_query_ranges': [(256, 266)], 'text_ranges': [(256, 266)]}
  D1 [6/175] skill=close H=4.657 top1=0.126
  Text input_ids length: 269
  Full sequence length (after vision expansion): 269
  Vision tokens (from seq diff): 0, Text tokens: 269
  (Processor-embedded vision tokens detected: 256 at [0:256])
  Token boundaries: {'vision_start': 0, 'vision_end': 256, 'text_start': 256, 'text_end': 269, 'total_seq_len': 269, 'num_vision_tokens': 256, 'num_text_tokens': 269, 'pre_image_tokens': 0, 'text_query_ranges': [(256, 269)], 'text_ranges': [(256, 269)]}
  D1 [7/175] skill=turn H=2.076 top1=0.697
  Text input_ids length: 268
  Full sequence length (after vision expansion): 268
  Vision tokens (from seq diff): 0, Text tokens: 268
  (Processor-embedded vision tokens detected: 256 at [0:256])
  Token boundaries: {'vision_start': 0, 'vision_end': 256, 'text_start': 256, 'text_end': 268, 'total_seq_len': 268, 'num_vision_tokens': 256, 'num_text_tokens': 268, 'pre_image_tokens': 0, 'text_query_ranges': [(256, 268)], 'text_ranges': [(256, 268)]}
  D1 [8/175] skill=open H=2.998 top1=0.255
  Text input_ids length: 267
  Full sequence length (after vision expansion): 267
  Vision tokens (from seq diff): 0, Text tokens: 267
  (Processor-embedded vision tokens detected: 256 at [0:256])
  Token boundaries: {'vision_start': 0, 'vision_end': 256, 'text_start': 256, 'text_end': 267, 'total_seq_len': 267, 'num_vision_tokens': 256, 'num_text_tokens': 267, 'pre_image_tokens': 0, 'text_query_ranges': [(256, 267)], 'text_ranges': [(256, 267)]}
  D1 [9/175] skill=open H=3.086 top1=0.455
  Text input_ids length: 270
  Full sequence length (after vision expansion): 270
  Vision tokens (from seq diff): 0, Text tokens: 270
  (Processor-embedded vision tokens detected: 256 at [0:256])
  Token boundaries: {'vision_start': 0, 'vision_end': 256, 'text_start': 256, 'text_end': 270, 'total_seq_len': 270, 'num_vision_tokens': 256, 'num_text_tokens': 270, 'pre_image_tokens': 0, 'text_query_ranges': [(256, 270)], 'text_ranges': [(256, 270)]}
  D1 [10/175] skill=place H=2.936 top1=0.507
  Text input_ids length: 268
  Full sequence length (after vision expansion): 268
  Vision tokens (from seq diff): 0, Text tokens: 268
  (Processor-embedded vision tokens detected: 256 at [0:256])
  Token boundaries: {'vision_start': 0, 'vision_end': 256, 'text_start': 256, 'text_end': 268, 'total_seq_len': 268, 'num_vision_tokens': 256, 'num_text_tokens': 268, 'pre_image_tokens': 0, 'text_query_ranges': [(256, 268)], 'text_ranges': [(256, 268)]}
  D1 [11/175] skill=place H=2.623 top1=0.481
  Text input_ids length: 269
  Full sequence length (after vision expansion): 269
  Vision tokens (from seq diff): 0, Text tokens: 269
  (Processor-embedded vision tokens detected: 256 at [0:256])
  Token boundaries: {'vision_start': 0, 'vision_end': 256, 'text_start': 256, 'text_end': 269, 'total_seq_len': 269, 'num_vision_tokens': 256, 'num_text_tokens': 269, 'pre_image_tokens': 0, 'text_query_ranges': [(256, 269)], 'text_ranges': [(256, 269)]}
  D1 [12/175] skill=turn H=6.298 top1=0.157
  Text input_ids length: 268
  Full sequence length (after vision expansion): 268
  Vision tokens (from seq diff): 0, Text tokens: 268
  (Processor-embedded vision tokens detected: 256 at [0:256])
